,soft_skill
0,collaborative
1,creative
2,mentoring
3,management
4,work flexibly
5,respond to unforeseen challenges
6,stakeholder relationships
7,working flexibly
8,cooperative
9,value and listen
10,self directed
11,creatively
12,creative
13,good working relations
14,giving advice
15,governance
16,professional development
17,accountability
18,written and spoken english
19,friendly approach
20,service
21,additional languages
22,active listening
23,customer centric mindset
24,performance improvement
25,present insights
26,customer first
27,research data
28,detail orientated
29,enthusiasm
30,management
31,passion
32,ability to articulate your ideas
33,gives and welcomes feedback
34,data project management
35,responds well to questions
36,analytical
37,independently driven
38,customer support
39,communicate
40,follow strict deadlines
41,liaising with our supplier
42,interaction in person
43,customer service skills
44,professional manner
45,common courtesy
46,problem solving
47,email interaction
48,passionate about people
49,motivation
50,eager to learn
51,fluent in english
52,crisis communication
53,reading skills
54,community training
55,quality oriented
56,quality assurance
57,organizational
58,professional coordination
59,supervision
60,cash handling
61,multi tasker
62,organized
63,strong leader
64,positive reinforcement
65,addressing customer inquiries
66,cash management
67,written oral and interpersonal communication skills
68,effective communicator
69,developed solid relationships
70,accountability
71,perseverance
72,calm under pressure
73,team management
74,organized
75,management techniques
76,patience
77,organizational
78,interacting with associates
79,connecting with clients and customers
80,collaborating
81,identifying customer needs
82,active listening
83,develop loyalty
84,build rapport
85,coordinating
86,coordinated
87,organizations skills
88,coordination
89,reliable
90,visionary
91,presentations
92,training and development
93,customer relations
94,creative selling
95,collaboration
96,leads teams
97,communicator
98,technical orientation
99,humility
100,written and oral
101,collaborator
102,communicated
103,communicating
104,coordinated
105,innovative
106,stakeholder engagement
107,customer satisfaction
108,client relations
109,customer satisfaction
110,presenting
111,leadership
112,english
113,coordinated
114,coordinate
115,mediation
116,quality driven
117,presented
118,coordinated
119,manages multiple tasks
120,organizational and time management skills
121,strong interpersonal relations
122,organizational
123,written and verbal communication skills
